,gene,chromosome
17828,TRAT1,['Chromosome 3']
17829,TRDMT1,['Chromosome 10']
17830,TRDN,['Chromosome 6']
17831,TREH,['Chromosome 11']
17832,TREM1,['Chromosome 6']
17833,TREM2,['Chromosome 6']
17834,TREML1,['Chromosome 6']
17835,TREML2,['Chromosome 6']
17836,TREML4,['Chromosome 6']
17837,TRERF1,['Chromosome 6']
17838,TREX1,['Chromosome 3']
17839,TREX2,['Chromosome X']
17840,TRH,['Chromosome 12']
17841,TRHDE,['Chromosome 12']
17842,TRHR,['Chromosome 8']
17843,TRIAP1,['Chromosome 12']
17844,TRIB1,['Chromosome 8']
17845,TRIB2,['Chromosome 2']
17846,TRIB3,['Chromosome 20']
17847,TRIL,['Chromosome 7']
17848,TRIM10,['Chromosome 6']
17849,TRIM11,['Chromosome 1']
17850,TRIM13,['Chromosome 13']
17851,TRIM14,['Chromosome 9']
17852,TRIM15,['Chromosome 6']
17853,TRIM16,['Chromosome 17']
17854,TRIM16L,['Chromosome 17']
17855,TRIM17,['Chromosome 1']
17856,TRIM2,['Chromosome 4']
17857,TRIM21,['Chromosome 11']
17858,TRIM22,['Chromosome 11']
17859,TRIM23,['Chromosome 5']
17860,TRIM24,['Chromosome 7']
17861,TRIM25,['Chromosome 17']
17862,TRIM26,['Chromosome 6']
17863,TRIM27,['Chromosome 6']
17864,TRIM28,['Chromosome 19']
17865,TRIM29,['Chromosome 11']
17866,TRIM3,['Chromosome 11']
17867,TRIM31,['Chromosome 6']
17868,TRIM32,['Chromosome 9']
17869,TRIM33,['Chromosome 1']
17870,TRIM34,['Chromosome 11']
17871,TRIM35,['Chromosome 8']
17872,TRIM36,['Chromosome 5']
17873,TRIM37,['Chromosome 17']
17874,TRIM38,['Chromosome 6']
17875,TRIM39,['Chromosome 6']
17876,TRIM4,['Chromosome 7']
17877,TRIM40,['Chromosome 6']
17878,TRIM41,['Chromosome 5']
17879,TRIM42,['Chromosome 3']
17880,TRIM43,['Chromosome 13']
17881,TRIM43B,['Chromosome 2']
17882,TRIM44,['Chromosome 11']
17883,TRIM45,['Chromosome 1']
17884,TRIM46,['Chromosome 1']
17885,TRIM47,['Unplaced']
17886,TRIM48,['Chromosome 11']
17887,TRIM49,['Chromosome 11']
17888,TRIM49B,['Chromosome 11']
17889,TRIM49C,['Chromosome 11']
17890,TRIM49D1,['Chromosome 11']
17891,TRIM49D2,['Chromosome 11']
17892,TRIM5,['Chromosome 11']
17893,TRIM50,['Chromosome 7']
17894,TRIM51,['Chromosome 11']
17895,TRIM52,['Chromosome 5']
17896,TRIM54,['Chromosome 2']
17897,TRIM55,['Chromosome 8']
17898,TRIM56,['Chromosome 7']
17899,TRIM58,['Chromosome 1']
17900,TRIM59,['Chromosome 3']
17901,TRIM59-IFT80,['Chromosome 3']
17902,TRIM6,['Chromosome 11']
17903,TRIM60,['Chromosome 4']
17904,TRIM61,['Chromosome 4']
17905,TRIM62,['Chromosome 1']
17906,TRIM63,['Chromosome 1']
17907,TRIM64,['Chromosome 11']
17908,TRIM64B,['Chromosome 11']
17909,TRIM64C,['Chromosome 11']
17910,TRIM65,['Chromosome 17']
17911,TRIM66,['Chromosome 11']
17912,TRIM67,['Chromosome 1']
17913,TRIM68,['Chromosome 11']
17914,TRIM69,['Chromosome 15']
17915,TRIM7,['Chromosome 5']
17916,TRIM71,['Chromosome 3']
17917,TRIM72,['Chromosome 16']
17918,TRIM73,['Chromosome 7']
17919,TRIM74,['Chromosome 7']
17920,TRIM77,['Chromosome 11']
17921,TRIM8,['Chromosome 10']
17922,TRIM9,['Chromosome 14']
17923,TRIML1,['Chromosome 4']
17924,TRIML2,['Chromosome 4']
17925,TRIO,['Chromosome 22']
17926,TRIOBP,['Chromosome 22']
17927,TRIP10,['Chromosome 19']
17928,TRIP11,['Chromosome 14']
17929,TRIP12,['Chromosome 2']
17930,TRIP13,['Chromosome 5']
17931,TRIP4,['Chromosome 15']
17932,TRIP6,['Chromosome 7']
17933,TRIQK,['Chromosome 8']
17934,TRIR,['Chromosome 19']
17935,TRIT1,['Chromosome 1']
17936,TRMO,['Chromosome 9']
17937,TRMT1,['Chromosome 22']
17938,TRMT10A,['Chromosome 4']
17939,TRMT10B,['Chromosome 9']
17940,TRMT10C,['Chromosome 3']
17941,TRMT11,['Chromosome 6']
17942,TRMT112,['Chromosome 11']
17943,TRMT12,['Chromosome 8']
17944,TRMT13,['Chromosome 1']
17945,TRMT1L,['Chromosome 1']
17946,TRMT2A,['Chromosome 22']
17947,TRMT2B,['Chromosome X']
17948,TRMT44,['Chromosome 4']
17949,TRMT5,['Chromosome 14']
17950,TRMT6,['Chromosome 20']
17951,TRMT61A,['Chromosome 14']
17952,TRMT61B,['Chromosome 2']
17953,TRMT9B,['Chromosome 8']
17954,TRMU,['Chromosome 22']
17955,TRNAU1AP,['Chromosome 1']
17956,TRNP1,['Chromosome 1']
17957,TRNT1,['Chromosome 3']
17958,TRO,['Chromosome 14']
17959,TROAP,['Chromosome 12']
17960,TROVE2,['Chromosome 1']
17961,TRPA1,['Chromosome 8']
17962,TRPC1,['Chromosome 3']
17963,TRPC2,['Chromosome 10']
17964,TRPC3,['Chromosome 4']
17965,TRPC4,['Chromosome 13']
17966,TRPC4AP,['Chromosome 20']
17967,TRPC5,['Chromosome X']
17968,TRPC5OS,['Chromosome X']
17969,TRPC6,['Chromosome 11']
17970,TRPC7,['Chromosome 5']
17971,TRPM1,['Chromosome 15']
17972,TRPM2,['Chromosome 21']
17973,TRPM2-AS,['Chromosome 17']
17974,TRPM3,['Chromosome 9']
17975,TRPM4,['Chromosome 19']
17976,TRPM5,['Chromosome 11']
17977,TRPM6,['Chromosome 9']
17978,TRPM7,['Chromosome 15']
17979,TRPM8,['Chromosome 2']
17980,TRPS1,['Chromosome 8']
17981,TRPT1,['Chromosome 11']
17982,TRPV1,['Chromosome 17']
17983,TRPV2,['Chromosome 17']
17984,TRPV3,['Chromosome 17']
17985,TRPV4,['Chromosome 12']
17986,TRPV5,['Chromosome 7']
17987,TRPV6,['Chromosome 7']
17988,TRRAP,['Chromosome 7']
17989,TRUB1,['Chromosome 10']
17990,TRUB2,['Chromosome 9']
17991,TSACC,['Chromosome 1']
17992,TSC1,['Chromosome 9']
17993,TSC2,['Chromosome 16']
17994,TSC22D1,['Chromosome 13']
17995,TSC22D2,['Chromosome 3']
17996,TSC22D3,['Chromosome X']
17997,TSC22D4,['Chromosome 7']
17998,TSEN15,['Chromosome 1']
17999,TSEN2,['Chromosome 3']
18000,TSEN34,['Chromosome 19']
18001,TSEN54,['Chromosome 17']
18002,TSFM,['Chromosome 12']
18003,TSG101,['Chromosome 11']
18004,TSGA10,['Chromosome 2']
18005,TSGA10IP,['Chromosome 11']
18006,TSGA13,['Chromosome 7']
18007,TSHB,['Chromosome 1']
18008,TSHR,['Chromosome 14']
18009,TSHZ1,['Chromosome 18']
18010,TSHZ2,['Chromosome 20']
18011,TSHZ3,['Chromosome 19']
18012,TSIX,['Chromosome 16']
18013,TSKS,['Chromosome 19']
18014,TSKU,['Chromosome 11']
18015,TSL,['Chromosome 7']
18016,TSLP,['Chromosome 5']
18017,TSN,['Chromosome 2']
18018,TSNARE1,['Chromosome 8']
18019,TSNAX,['Chromosome 1']
18020,TSNAXIP1,['Chromosome 16']
18021,TSPAN1,['Chromosome 1']
18022,TSPAN10,['Unplaced']
18023,TSPAN11,['Chromosome 12']
18024,TSPAN12,['Chromosome 7']
18025,TSPAN13,['Chromosome 7']
18026,TSPAN14,['Chromosome 10']
18027,TSPAN15,['Chromosome 10']
18028,TSPAN16,['Chromosome 19']
18029,TSPAN17,['Chromosome 5']
18030,TSPAN18,['Chromosome 11']
18031,TSPAN19,['Chromosome 12']
18032,TSPAN2,['Chromosome 1']
18033,TSPAN3,['Chromosome 15']
18034,TSPAN31,['Chromosome 12']
18035,TSPAN32,['Chromosome 11']
18036,TSPAN33,['Chromosome 7']
18037,TSPAN4,['Chromosome 11']
18038,TSPAN5,['Chromosome 4']
18039,TSPAN6,['Chromosome X']
18040,TSPAN7,['Chromosome X']
18041,TSPAN8,['Chromosome 12']
18042,TSPAN9,['Chromosome 12']
18043,TSPEAR,['Chromosome 21']
18044,TSPEAR-AS2,['Unplaced']
18045,TSPO,['Chromosome 22']
18046,TSPO2,['Chromosome 6']
18047,TSPOAP1,['Chromosome 17']
18048,TSPY1,['Chromosome Y']
18049,TSPY10,['Chromosome Y']
18050,TSPY2,['Chromosome Y']
18051,TSPY26P,['Unplaced']
18052,TSPY3,['Chromosome Y']
18053,TSPY4,['Chromosome Y']
18054,TSPY8,['Chromosome Y']
18055,TSPYL1,['Chromosome 6']
18056,TSPYL2,['Chromosome X']
18057,TSPYL4,['Chromosome 6']
18058,TSPYL5,['Chromosome 8']
18059,TSPYL6,['Chromosome 2']
18060,TSR1,['Chromosome 17']
18061,TSR2,['Chromosome X']
18062,TSR3,['Chromosome 16']
18063,TSSC4,['Chromosome 11']
18064,TSSK1B,['Chromosome 5']
18065,TSSK2,['Chromosome 22']
18066,TSSK3,['Chromosome 1']
18067,TSSK4,['Chromosome 14']
18068,TSSK6,['Chromosome 19']
18069,TST,['Chromosome 22']
18070,TSTA3,['Chromosome 8']
18071,TSTD1,['Chromosome 1']
18072,TSTD2,['Chromosome 9']
18073,TSTD3,['Chromosome 6']
18074,TTBK1,['Chromosome 6']
18075,TTBK2,['Chromosome 15']
18076,TTC1,['Chromosome 5']
18077,TTC12,['Chromosome 11']
18078,TTC13,['Chromosome 1']
18079,TTC14,['Chromosome 3']
18080,TTC16,['Chromosome 9']
18081,TTC17,['Chromosome 11']
18082,TTC19,['Chromosome 17']
18083,TTC21A,['Chromosome 3']
18084,TTC21B,['Chromosome 2']
18085,TTC22,['Chromosome 1']
18086,TTC23,['Chromosome 15']
18087,TTC23L,['Chromosome 5']
18088,TTC24,['Chromosome 1']
18089,TTC25,['Chromosome 17']
18090,TTC26,['Chromosome 7']
18091,TTC27,['Chromosome 12']
18092,TTC28,['Chromosome 22']
18093,TTC29,['Chromosome 4']
18094,TTC3,['Chromosome 21']
18095,TTC30A,['Chromosome 2']
18096,TTC30B,['Chromosome 2']
18097,TTC31,['Chromosome 2']
18098,TTC32,['Chromosome 6']
18099,TTC33,['Chromosome 14']
18100,TTC34,['Chromosome 1']
18101,TTC36,['Chromosome 11']
18102,TTC37,['Chromosome 5']
18103,TTC38,['Chromosome 22']
18104,TTC39A,['Chromosome 1']
18105,TTC39B,['Chromosome 9']
18106,TTC39C,['Chromosome 18']
18107,TTC4,['Chromosome 1']
18108,TTC41P,['Unplaced']
18109,TTC5,['Chromosome 14']
18110,TTC6,['Chromosome 14']
18111,TTC7A,['Chromosome 2']
18112,TTC7B,['Chromosome 14']
18113,TTC8,['Chromosome 14']
18114,TTC9,['Chromosome 11']
18115,TTC9B,['Chromosome 19']
18116,TTC9C,['Chromosome 11']
18117,TTF1,['Chromosome 9']
18118,TTF2,['Chromosome 9']
18119,TTI1,['Chromosome 20']
18120,TTI2,['Chromosome 8']
18121,TTK,['Chromosome 6']
18122,TTL,['Chromosome 17']
18123,TTLL1,['Chromosome 22']
18124,TTLL10,['Chromosome 1']
18125,TTLL11,['Chromosome 9']
18126,TTLL12,['Chromosome 22']
18127,TTLL13P,['Chromosome 15']
18128,TTLL2,['Chromosome 6']
18129,TTLL3,['Chromosome 3']
18130,TTLL4,['Chromosome 2']
18131,TTLL5,['Chromosome 14']
18132,TTLL6,['Chromosome 17']
18133,TTLL7,['Chromosome 1']
18134,TTLL8,['Chromosome 22']
18135,TTLL9,['Chromosome 20']
18136,TTN,['Chromosome 2']
18137,TTPA,['Chromosome 8']
18138,TTPAL,['Chromosome 20']
18139,TTR,['Chromosome 18']
18140,TTTY10,['Unplaced']
18141,TTTY12,['Unplaced']
18142,TTTY13,['Unplaced']
18143,TTTY15,['Chromosome Y']
18144,TTYH1,['Chromosome 19']
18145,TTYH2,['Chromosome 17']
18146,TTYH3,['Chromosome 7']
18147,TUB,['Chromosome 11']
18148,TUBA1A,['Chromosome 12']
18149,TUBA1B,['Chromosome 12']
18150,TUBA1C,['Chromosome 12']
18151,TUBA3C,['Chromosome 13']
18152,TUBA3D,['Chromosome 2']
18153,TUBA3E,['Chromosome 2']
18154,TUBA4A,['Chromosome 2']
18155,TUBA4B,['Chromosome 2']
18156,TUBA8,['Chromosome 22']
18157,TUBAL3,['Chromosome 10']
18158,TUBB,['Chromosome 19']
18159,TUBB1,['Chromosome 20']
18160,TUBB2A,['Chromosome 6']
18161,TUBB2B,['Chromosome 6']
18162,TUBB3,['Chromosome 16']
18163,TUBB4A,['Chromosome 19']
18164,TUBB4B,['Chromosome 9']
18165,TUBB6,['Chromosome 18']
18166,TUBB8,['Chromosome 10']
18167,TUBB8P12,['Chromosome 18']
18168,TUBD1,['Chromosome 17']
18169,TUBE1,['Chromosome 6']
18170,TUBG1,['Chromosome 17']
18171,TUBG2,['Chromosome 17']
18172,TUBGCP2,['Chromosome 10']
18173,TUBGCP3,['Chromosome 13']
18174,TUBGCP4,['Chromosome 15']
18175,TUBGCP5,['Chromosome 15']
18176,TUBGCP6,['Chromosome 22']
18177,TUFM,['Chromosome 16']
18178,TUFT1,['Chromosome 1']
18179,TULP1,['Chromosome 6']
18180,TULP2,['Chromosome 19']
18181,TULP3,['Chromosome 12']
18182,TULP4,['Chromosome 6']
18183,TUSC1,['Chromosome 9']
18184,TUSC2,['Chromosome 3']
18185,TUSC3,['Chromosome 8']
18186,TUT1,['Chromosome 11']
18187,TUT4,['Chromosome 1']
18188,TUT7,['Chromosome 9']
18189,TVP23A,['Chromosome 16']
18190,TVP23B,['Chromosome 17']
18191,TVP23C,['Chromosome 17']
18192,TWF1,['Unplaced']
18193,TWF2,['Chromosome 3']
18194,TWIST1,['Chromosome 7']
18195,TWIST2,['Unplaced']
18196,TWISTNB,['Chromosome 7']
18197,TWNK,['Chromosome 10']
18198,TWSG1,['Chromosome 18']
18199,TXK,['Chromosome 4']
18200,TXLNA,['Chromosome 1']
18201,TXLNB,['Chromosome 6']
18202,TXLNG,['Chromosome X']
18203,TXLNGY,['Unplaced']
18204,TXN,['Chromosome 22']
18205,TXN2,['Chromosome 22']
18206,TXNDC11,['Chromosome 16']
18207,TXNDC12,['Chromosome 1']
18208,TXNDC15,['Chromosome 5']
18209,TXNDC16,['Chromosome 14']
18210,TXNDC17,['Chromosome 17']
18211,TXNDC2,['Chromosome 18']
18212,TXNDC5,['Chromosome 6']
18213,TXNDC8,['Chromosome 9']
18214,TXNDC9,['Chromosome 2']
18215,TXNIP,['Chromosome 1']
18216,TXNL1,['Chromosome 18']
18217,TXNL4A,['Chromosome 18']
18218,TXNL4B,['Chromosome 16']
18219,TXNRD1,['Chromosome 12']
18220,TXNRD2,['Unplaced']
18221,TXNRD3,['Chromosome 3']
18222,TXNRD3NB,['Unplaced']
18223,TYK2,['Chromosome 19']
18224,TYMP,['Chromosome 22']
18225,TYMS,['Chromosome 18']
18226,TYMSOS,['Chromosome 6']
18227,TYR,['Chromosome 6']
18228,TYRO3,['Chromosome 15']
18229,TYROBP,['Chromosome 19']
18230,TYRP1,['Chromosome 9']
18231,TYSND1,['Chromosome 10']
18232,TYW1,['Chromosome 7']
18233,TYW1B,['Chromosome 7']
18234,TYW3,['Chromosome 1']
18235,TYW5,['Chromosome 2']
18236,U2AF1,['Chromosome 19']
18237,U2AF1L4,['Chromosome 19']
18238,U2AF1L5,['Chromosome 21']
18239,U2AF2,['Chromosome 19']
18240,U2SURP,['Chromosome 3']
18241,UACA,['Chromosome 15']
18242,UAP1,['Chromosome 1']
18243,UAP1L1,['Chromosome 9']
18244,UBA1,['Chromosome X']
18245,UBA2,['Chromosome 19']
18246,UBA3,['Chromosome 3']
18247,UBA5,['Chromosome 3']
18248,UBA52,['Chromosome 19']
18249,UBA6,['Chromosome 4']
18250,UBA7,['Chromosome 3']
18251,UBAC1,['Chromosome 9']
18252,UBAC2,['Chromosome 13']
18253,UBALD1,['Chromosome 16']
18254,UBALD2,['Chromosome 17']
18255,UBAP1,['Chromosome 9']
18256,UBAP1L,['Chromosome 15']
18257,UBAP2,['Chromosome 1']
18258,UBAP2L,['Chromosome 1']
18259,UBASH3A,['Chromosome 21']
18260,UBASH3B,['Chromosome 11']
18261,UBB,['Chromosome 17']
18262,UBC,['Chromosome 16']
18263,UBD,['Chromosome 6']
18264,UBE2A,['Chromosome X']
18265,UBE2B,['Chromosome 5']
18266,UBE2C,['Chromosome 20']
18267,UBE2D1,['Chromosome 10']
18268,UBE2D2,['Chromosome 5']
18269,UBE2D3,['Chromosome 4']
18270,UBE2D4,['Chromosome 7']
18271,UBE2DNL,['Chromosome X']
18272,UBE2E1,['Chromosome 3']
18273,UBE2E2,['Chromosome 3']
18274,UBE2E3,['Chromosome 2']
18275,UBE2F,['Chromosome 2']
18276,UBE2G1,['Chromosome 17']
18277,UBE2G2,['Chromosome 21']
18278,UBE2H,['Chromosome 7']
18279,UBE2I,['Chromosome 16']
18280,UBE2J1,['Chromosome 6']
18281,UBE2J2,['Chromosome 1']
18282,UBE2K,['Chromosome 4']
18283,UBE2L3,['Chromosome 22']
18284,UBE2L5,['Chromosome 13']
18285,UBE2L6,['Chromosome 11']
18286,UBE2M,['Chromosome 19']
18287,UBE2N,['Chromosome 12']
18288,UBE2NL,['Unplaced']
18289,UBE2O,['Chromosome 17']
18290,UBE2Q1,['Chromosome 1']
18291,UBE2Q2,['Chromosome 15']
18292,UBE2Q2L,['Chromosome 15']
18293,UBE2QL1,['Chromosome 5']
18294,UBE2R2,['Chromosome 9']
18295,UBE2S,['Chromosome 19']
18296,UBE2T,['Chromosome 1']
18297,UBE2U,['Chromosome 1']
18298,UBE2V1,['Chromosome 20']
18299,UBE2V2,['Chromosome 8']
18300,UBE2W,['Chromosome 8']
18301,UBE2Z,['Chromosome 17']
18302,UBE3A,['Chromosome 15']
18303,UBE3B,['Chromosome 12']
18304,UBE3C,['Chromosome 7']
18305,UBE3D,['Chromosome 6']
18306,UBE4A,['Chromosome 11']
18307,UBE4B,['Chromosome 1']
18308,UBFD1,['Chromosome 16']
18309,UBIAD1,['Chromosome 1']
18310,UBL3,['Chromosome 13']
18311,UBL4A,['Chromosome X']
18312,UBL4B,['Chromosome 17']
18313,UBL5,['Chromosome 19']
18314,UBL7,['Chromosome 15']
18315,UBLCP1,['Chromosome 5']
18316,UBN1,['Chromosome 16']
18317,UBN2,['Chromosome 7']
18318,UBOX5,['Chromosome 20']
18319,UBP1,['Chromosome 3']
18320,UBQLN1,['Chromosome 9']
18321,UBQLN2,['Chromosome X']
18322,UBQLN3,['Chromosome 11']
18323,UBQLN4,['Chromosome 1']
18324,UBQLNL,['Chromosome 11']
18325,UBR1,['Chromosome 15']
18326,UBR2,['Chromosome 6']
18327,UBR3,['Chromosome 2']
18328,UBR4,['Chromosome 1']
18329,UBR5,['Chromosome 8']
18330,UBR7,['Chromosome 14']
18331,UBTD1,['Chromosome 10']
18332,UBTD2,['Chromosome 5']
18333,UBTF,['Chromosome 17']
18334,UBTFL1,['Chromosome 11']
18335,UBXN1,['Chromosome 11']
18336,UBXN10,['Chromosome 1']
18337,UBXN11,['Chromosome 1']
18338,UBXN2A,['Chromosome 2']
18339,UBXN2B,['Chromosome 8']
18340,UBXN4,['Chromosome 2']
18341,UBXN6,['Chromosome 19']
18342,UBXN7,['Chromosome 3']
18343,UBXN8,['Chromosome 8']
18344,UCHL1,['Chromosome 4']
18345,UCHL3,['Chromosome 13']
18346,UCHL5,['Chromosome 1']
18347,UCK1,['Chromosome 9']
18348,UCK2,['Chromosome 1']
18349,UCKL1,['Chromosome 20']
18350,UCMA,['Chromosome 10']
18351,UCN,['Chromosome 10']
18352,UCN2,['Chromosome 3']
18353,UCN3,['Chromosome 10']
18354,UCP1,['Chromosome 4']
18355,UCP2,['Chromosome 11']
18356,UCP3,['Chromosome 11']
18357,UEVLD,['Chromosome 11']
18358,UFC1,['Chromosome 1']
18359,UFD1,['Chromosome 22']
18360,UFL1,['Chromosome 6']
18361,UFM1,['Chromosome 13']
18362,UFSP1,['Chromosome 4']
18363,UFSP2,['Chromosome 4']
18364,UGCG,['Chromosome 9']
18365,UGDH,['Chromosome 4']
18366,UGGT1,['Chromosome 2']
18367,UGGT2,['Chromosome 13']
18368,UGP2,['Chromosome 2']
18369,UGT1A1,['Chromosome 2']
18370,UGT1A10,['Chromosome 2']
18371,UGT1A3,['Chromosome 2']
18372,UGT1A4,['Chromosome 2']
18373,UGT1A5,['Chromosome 2']
18374,UGT1A6,['Chromosome 2']
18375,UGT1A7,['Chromosome 2']
18376,UGT1A8,['Chromosome 2']
18377,UGT1A9,['Chromosome 2']
18378,UGT2A1,['Chromosome 4']
18379,UGT2A2,['Chromosome 4']
18380,UGT2A3,['Chromosome 4']
18381,UGT2B10,['Chromosome 4']
18382,UGT2B11,['Chromosome 4']
18383,UGT2B15,['Chromosome 4']
18384,UGT2B17,['Chromosome 4']
18385,UGT2B28,['Chromosome 4']
18386,UGT2B4,['Chromosome 4']
18387,UGT2B7,['Chromosome 4']
18388,UGT3A1,['Chromosome 5']
18389,UGT3A2,['Chromosome 5']
18390,UGT8,['Chromosome 4']
18391,UHMK1,['Unplaced']
18392,UHRF1,['Chromosome 19']
18393,UHRF1BP1,['Chromosome 12']
18394,UHRF1BP1L,['Chromosome 12']
18395,UHRF2,['Chromosome 9']
18396,UIMC1,['Chromosome 5']
18397,ULBP1,['Chromosome 6']
18398,ULBP2,['Chromosome 6']
18399,ULBP3,['Chromosome 6']
18400,ULK1,['Chromosome 12']
18401,ULK2,['Chromosome 17']
18402,ULK3,['Chromosome 15']
18403,ULK4,['Chromosome 3']
18404,UMAD1,['Chromosome 7']
18405,UMOD,['Chromosome 16']
18406,UMODL1,['Chromosome 21']
18407,UMODL1-AS1,['Unplaced']
18408,UMPS,['Chromosome 3']
18409,UNC119,['Chromosome 17']
18410,UNC119B,['Chromosome 12']
18411,UNC13A,['Chromosome 19']
18412,UNC13B,['Chromosome 9']
18413,UNC13C,['Chromosome 15']
18414,UNC13D,['Chromosome 17']
18415,UNC45A,['Chromosome 15']
18416,UNC45B,['Chromosome 17']
18417,UNC50,['Chromosome 2']
18418,UNC5A,['Chromosome 5']
18419,UNC5B,['Chromosome 10']
18420,UNC5C,['Chromosome 4']
18421,UNC5CL,['Chromosome 6']
18422,UNC5D,['Chromosome 8']
18423,UNC79,['Chromosome 14']
18424,UNC80,['Chromosome 2']
18425,UNC93A,['Chromosome 6']
18426,UNC93B1,['Chromosome 11']
18427,UNCX,['Chromosome 7']
18428,UNG,['Chromosome 12']
18429,UNK,['Chromosome 17']
18430,UNKL,['Chromosome 16']
18431,UNQ6494,['Unplaced']
18432,UOX,['Chromosome 6']
18433,UPB1,['Chromosome 22']
18434,UPF1,['Chromosome 19']
18435,UPF2,['Chromosome 10']
18436,UPF3A,['Chromosome 13']
18437,UPF3B,['Chromosome X']
18438,UPK1A,['Chromosome 19']
18439,UPK1B,['Chromosome 3']
18440,UPK2,['Chromosome 11']
18441,UPK3A,['Chromosome 22']
18442,UPK3B,['Chromosome 7']
18443,UPK3BL1,['Chromosome 7']
18444,UPK3BL2,['Unplaced']
18445,UPP1,['Chromosome 7']
18446,UPP2,['Chromosome 2']
18447,UPRT,['Chromosome X']
18448,UQCC1,['Chromosome 20']
18449,UQCC2,['Chromosome 6']
18450,UQCC3,['Chromosome 11']
18451,UQCR10,['Chromosome 22']
18452,UQCR11,['Chromosome 19']
18453,UQCRB,['Chromosome 8']
18454,UQCRC1,['Chromosome 3']
18455,UQCRC2,['Chromosome 16']
18456,UQCRFS1,['Chromosome 19']
18457,UQCRH,['Chromosome 1']
18458,UQCRHL,['Chromosome 1']
18459,UQCRQ,['Chromosome 5']
18460,URAD,['Chromosome 13']
18461,URB1,['Chromosome 21']
18462,URB1-AS1,['Unplaced']
18463,URB2,['Chromosome 1']
18464,URGCP,['Chromosome 7']
18465,URI1,['Chromosome 19']
18466,URM1,['Chromosome 9']
18467,UROC1,['Chromosome 3']
18468,UROD,['Chromosome 1']
18469,UROS,['Chromosome 10']
18470,USB1,['Chromosome 16']
18471,USE1,['Chromosome 19']
18472,USF1,['Chromosome 1']
18473,USF2,['Chromosome 19']
18474,USF3,['Chromosome 3']
18475,USH1C,['Chromosome 11']
18476,USH1G,['Chromosome 17']
18477,USH2A,['Chromosome 1']
18478,USHBP1,['Chromosome 19']
18479,USO1,['Chromosome 4']
18480,USP1,['Chromosome 1']
18481,USP10,['Chromosome 16']
18482,USP11,['Chromosome X']
18483,USP12,['Chromosome 13']
18484,USP13,['Chromosome 3']
18485,USP14,['Chromosome 18']
18486,USP15,['Chromosome 12']
18487,USP16,['Chromosome 21']
18488,USP17L1,['Chromosome 8']
18489,USP17L10,['Chromosome 4']
18490,USP17L11,['Chromosome 4']
18491,USP17L12,['Chromosome 4']
18492,USP17L13,['Chromosome 4']
18493,USP17L15,['Chromosome 4']
18494,USP17L17,['Chromosome 4']
18495,USP17L18,['Chromosome 4']
18496,USP17L19,['Chromosome 4']
18497,USP17L2,['Chromosome 8']
18498,USP17L20,['Chromosome 4']
18499,USP17L21,['Chromosome 4']
18500,USP17L22,['Chromosome 4']
18501,USP17L24,['Chromosome 4']
18502,USP17L25,['Chromosome 4']
18503,USP17L26,['Chromosome 4']
18504,USP17L27,['Chromosome 4']
18505,USP17L28,['Chromosome 4']
18506,USP17L29,['Chromosome 4']
18507,USP17L3,['Chromosome 8']
18508,USP17L30,['Chromosome 4']
18509,USP17L4,['Chromosome 8']
18510,USP17L5,['Chromosome 4']
18511,USP17L6P,['Unplaced']
18512,USP17L7,['Chromosome 8']
18513,USP17L8,['Chromosome 8']
18514,USP18,['Chromosome 22']
18515,USP19,['Chromosome 3']
18516,USP2,['Chromosome 11']
18517,USP20,['Chromosome 9']
18518,USP21,['Chromosome 1']
18519,USP22,['Chromosome 17']
18520,USP24,['Chromosome 1']
18521,USP25,['Chromosome 21']
18522,USP26,['Chromosome X']
18523,USP27X,['Chromosome X']
18524,USP28,['Chromosome 11']
18525,USP29,['Chromosome 19']
18526,USP3,['Chromosome 15']
18527,USP30,['Chromosome 12']
18528,USP31,['Chromosome 1']
18529,USP32,['Chromosome 17']
18530,USP33,['Chromosome 1']
18531,USP34,['Chromosome 2']
18532,USP35,['Chromosome 11']
18533,USP36,['Unplaced']
18534,USP37,['Chromosome 2']
18535,USP38,['Chromosome 4']
18536,USP39,['Chromosome 2']
18537,USP4,['Chromosome 3']
18538,USP40,['Chromosome 2']
18539,USP42,['Chromosome 7']
18540,USP43,['Chromosome 17']
18541,USP44,['Chromosome 12']
18542,USP45,['Chromosome 6']
18543,USP46,['Chromosome 4']
18544,USP47,['Chromosome 11']
18545,USP48,['Chromosome 1']
18546,USP49,['Chromosome 6']
18547,USP5,['Chromosome 12']
18548,USP50,['Chromosome 15']
18549,USP51,['Chromosome X']
18550,USP53,['Chromosome 4']
18551,USP54,['Chromosome 10']
18552,USP6,['Chromosome 10']
18553,USP6NL,['Chromosome 10']
18554,USP7,['Chromosome 16']
18555,USP8,['Chromosome 15']
18556,USP9X,['Chromosome X']
18557,USP9Y,['Chromosome Y']
18558,USPL1,['Chromosome 13']
18559,UST,['Chromosome 11']
18560,UTF1,['Chromosome 10']
18561,UTP11,['Chromosome 1']
18562,UTP14A,['Chromosome X']
18563,UTP14C,['Chromosome 13']
18564,UTP15,['Chromosome 5']
18565,UTP18,['Chromosome 17']
18566,UTP20,['Chromosome 12']
18567,UTP23,['Chromosome 8']
18568,UTP25,['Chromosome 1']
18569,UTP3,['Chromosome 4']
18570,UTP4,['Chromosome 16']
18571,UTP6,['Chromosome 17']
